! AeroL.Airfoil V2.0.0 Powered by 赵子祯
这个文件是适配OpenWECD 1.0.2及其之上的版本，支持OYE,IAG，GOR,ATEF 以及BL模型，模型的开启与否在AeroL 主文件当中
===========  翼型信息  (General data)  ===========
21.1                Thickness      - 翼型相对厚度 Thickness to chord radio(%)
1.E+07          ReyNum        - 雷诺数(Reynolds Number)(-)
25,0                PMCentre       - CM测量的位置(气动中心) Pitching Moment Centre(%)
"./NREL_FFA_W3_211_Geo.txt"                Geometry       -  翼型的外形几何数据文件(必须填写，以实现VTK)
===========  翼型数据  (Aerofoil Database) ===========
120   NumAlf     - 翼型数据行数
      Alpha      Cl      Cd        Cm
     (deg)      (-)     (-)       (-)
-180	0	0.025	0
-177.71	0.054	0.025	0.091
-175.43	0.108	0.027	0.183
-173.14	0.162	0.031	0.274
-170.86	0.216	0.036	0.366
-168.57	0.27	0.056	0.392
-166.29	0.324	0.081	0.379
-164	0.378	0.111	0.366
-161.71	0.432	0.145	0.353
-159.43	0.486	0.182	0.348
-157.14	0.54	0.224	0.365
-154.86	0.594	0.268	0.382
-152.57	0.648	0.316	0.399
-150.29	0.702	0.366	0.416
-148	0.756	0.419	0.42
-143.86	0.732	0.519	0.423
-139.71	0.707	0.625	0.426
-135.57	0.678	0.733	0.432
-131.43	0.643	0.841	0.437
-127.29	0.603	0.948	0.444
-123.14	0.556	1.05	0.452
-119	0.502	1.146	0.459
-114.86	0.441	1.234	0.464
-110.71	0.375	1.311	0.47
-106.57	0.305	1.377	0.471
-102.43	0.231	1.43	0.471
-98.29	0.154	1.468	0.468
-94.14	0.077	1.492	0.461
-90	0	1.5	0.455
-85.86	-0.077	1.492	0.44
-81.71	-0.154	1.468	0.426
-77.57	-0.231	1.43	0.408
-73.43	-0.305	1.377	0.388
-69.29	-0.375	1.311	0.368
-65.14	-0.441	1.234	0.345
-61	-0.502	1.146	0.322
-56.86	-0.556	1.05	0.299
-52.71	-0.603	0.948	0.275
-48.57	-0.643	0.841	0.251
-44.43	-0.678	0.733	0.228
-40.29	-0.707	0.625	0.205
-36.14	-0.732	0.519	0.154
-32	-0.756	0.419	0.101
-28	-0.856	0.287	0.065
-24	-1.183	0.14	0.016
-20	-1.236	0.083	-0.004
-18	-1.225	0.065	-0.007
-16	-1.205	0.049	-0.009
-14	-1.183	0.034	-0.011
-12	-1.101	0.021	-0.023
-10	-0.882	0.014	-0.044
-8	-0.63	0.011	-0.058
-6	-0.377	0.009	-0.067
-4	-0.122	0.007	-0.077
-2	0.128	0.007	-0.083
-1	0.252	0.007	-0.085
0	0.375	0.007	-0.088
1	0.498	0.007	-0.09
2	0.621	0.007	-0.092
3	0.742	0.007	-0.094
4	0.862	0.008	-0.096
5	0.981	0.008	-0.098
6	1.097	0.009	-0.1
7	1.209	0.01	-0.101
8	1.317	0.011	-0.102
9	1.422	0.012	-0.102
10	1.524	0.014	-0.102
11	1.62	0.015	-0.102
12	1.709	0.017	-0.101
13	1.787	0.02	-0.099
14	1.843	0.024	-0.097
15	1.853	0.031	-0.094
16	1.81	0.043	-0.091
18	1.66	0.077	-0.092
20	1.562	0.112	-0.099
24	1.433	0.184	-0.118
28	1.291	0.276	-0.146
32	1.081	0.419	-0.183
36.14	1.046	0.519	-0.209
40.29	1.009	0.625	-0.235
44.43	0.968	0.733	-0.258
48.57	0.919	0.841	-0.28
52.71	0.861	0.948	-0.302
56.86	0.794	1.05	-0.322
61	0.717	1.146	-0.342
65.14	0.63	1.234	-0.361
69.29	0.536	1.311	-0.38
73.43	0.435	1.377	-0.397
77.57	0.329	1.43	-0.413
81.71	0.22	1.468	-0.428
85.86	0.11	1.492	-0.442
90	0	1.5	-0.455
94.14	-0.077	1.492	-0.461
98.29	-0.154	1.468	-0.468
102.43	-0.231	1.43	-0.471
106.57	-0.305	1.377	-0.471
110.71	-0.375	1.311	-0.47
114.86	-0.441	1.234	-0.464
119	-0.502	1.146	-0.459
123.14	-0.556	1.05	-0.452
127.29	-0.603	0.948	-0.444
131.43	-0.643	0.841	-0.437
135.57	-0.678	0.733	-0.432
139.71	-0.707	0.625	-0.426
143.86	-0.732	0.519	-0.423
148	-0.756	0.419	-0.42
150.29	-0.702	0.366	-0.416
152.57	-0.648	0.316	-0.399
154.86	-0.594	0.268	-0.382
157.14	-0.54	0.224	-0.365
159.43	-0.486	0.182	-0.348
161.71	-0.432	0.145	-0.37
164	-0.378	0.111	-0.406
166.29	-0.324	0.081	-0.442
168.57	-0.27	0.056	-0.478
170.86	-0.216	0.036	-0.457
173.14	-0.162	0.031	-0.343
175.43	-0.108	0.027	-0.229
177.71	-0.054	0.025	-0.114
180	0	0.025	0




