Time	 FAIRTEN1	 FAIRTEN2	 ANCHTEN1	 CON2PX	 CON2PY	 CON2FZ	 
(s)	 (N)     	 (N)     	 (N)     	 (m)     	 (m)     	 (N)     	 
0	 909656	 909729	 735821	 -426.94	 739.47	 -15776.8	 
1.4013e-045	 909654	 909727	 735820	 -426.94	 739.47	 -15776.8	 
0.02	 909664	 909734	 735802	 -426.94	 739.47	 -15776.8	 
0.04	 909629	 909696	 735762	 -426.94	 739.47	 -15776.8	 
0.06	 909567	 909641	 735703	 -426.94	 739.47	 -15776.8	 
0.05	 909545	 909615	 735682	 -426.94	 739.47	 -15776.8	 
0.07	 909532	 909607	 735642	 -426.94	 739.47	 -15776.8	 
0.09	 909477	 909561	 735580	 -426.94	 739.47	 -15776.8	 
0.08	 909413	 909490	 735560	 -426.94	 739.47	 -15776.8	 
0.1	 909417	 909511	 735519	 -426.94	 739.47	 -15776.8	 
0.12	 909364	 909467	 735456	 -426.94	 739.47	 -15776.8	 
0.11	 909288	 909371	 735436	 -426.94	 739.47	 -15776.8	 
0.13	 909297	 909405	 735394	 -426.94	 739.47	 -15776.8	 
0.15	 909243	 909354	 735332	 -426.94	 739.47	 -15776.8	 
0.14	 909160	 909245	 735312	 -426.94	 739.47	 -15776.8	 
0.16	 909172	 909275	 735272	 -426.94	 739.47	 -15776.8	 
0.18	 909118	 909211	 735213	 -426.94	 739.47	 -15776.8	 
0.17	 909032	 909108	 735195	 -426.94	 739.47	 -15776.8	 
0.19	 909045	 909115	 735158	 -426.94	 739.47	 -15776.8	 
0.21	 908994	 909039	 735107	 -426.94	 739.47	 -15776.8	 
0.2	 908906	 908964	 735091	 -426.94	 739.47	 -15776.8	 
0.22	 908921	 908932	 735059	 -426.94	 739.47	 -15776.8	 
0.24	 908872	 908849	 735012	 -426.94	 739.47	 -15776.8	 
0.23	 908783	 908817	 734997	 -426.94	 739.47	 -15776.8	 
0.25	 908800	 908745	 734967	 -426.94	 739.47	 -15776.8	 
0.27	 908753	 908660	 734920	 -426.94	 739.47	 -15776.8	 
0.26	 908664	 908676	 734905	 -426.94	 739.47	 -15776.8	 
0.28	 908682	 908568	 734873	 -426.94	 739.47	 -15776.8	 
0.3	 908635	 908487	 734824	 -426.94	 739.47	 -15776.8	 
0.29	 908550	 908546	 734808	 -426.94	 739.47	 -15776.8	 
0.31	 908565	 908412	 734775	 -426.94	 739.47	 -15776.8	 
0.33	 908518	 908333	 734726	 -426.94	 739.47	 -15776.8	 
0.32	 908440	 908430	 734709	 -426.94	 739.47	 -15776.8	 
0.34	 908448	 908276	 734677	 -426.94	 739.47	 -15776.8	 
0.36	 908402	 908196	 734629	 -426.94	 739.47	 -15776.8	 
0.35	 908339	 908327	 734613	 -426.94	 739.47	 -15776.8	 
0.37	 908336	 908151	 734582	 -426.94	 739.47	 -15776.8	 
0.39	 908292	 908069	 734537	 -426.94	 739.47	 -15776.8	 
0.38	 908249	 908239	 734522	 -426.94	 739.47	 -15776.8	 
0.4	 908233	 908036	 734493	 -426.94	 739.47	 -15776.8	 
0.42	 908193	 907951	 734452	 -426.94	 739.47	 -15776.8	 
0.41	 908174	 908164	 734438	 -426.94	 739.47	 -15776.8	 
0.43	 908144	 907931	 734412	 -426.94	 739.47	 -15776.8	 
0.45	 908107	 907847	 734374	 -426.94	 739.47	 -15776.8	 
0.44	 908111	 908105	 734361	 -426.94	 739.47	 -15776.8	 
0.46	 908066	 907841	 734337	 -426.94	 739.47	 -15776.8	 
0.48	 908033	 907764	 734302	 -426.94	 739.47	 -15776.7	 
0.47	 908058	 908059	 734290	 -426.94	 739.47	 -15776.7	 
0.49	 908003	 907778	 734267	 -426.94	 739.47	 -15776.7	 
0.51	 907972	 907710	 734234	 -426.94	 739.47	 -15776.7	 
0.5	 908014	 908023	 734223	 -426.94	 739.47	 -15776.7	 
0.52	 907952	 907744	 734202	 -426.94	 739.47	 -15776.7	 
0.54	 907924	 907683	 734172	 -426.94	 739.47	 -15776.7	 
0.53	 907979	 907991	 734162	 -426.94	 739.47	 -15776.7	 
0.55	 907912	 907731	 734144	 -426.94	 739.47	 -15776.7	 
0.57	 907886	 907676	 734119	 -426.94	 739.47	 -15776.7	 
0.56	 907952	 907958	 734111	 -426.94	 739.47	 -15776.7	 
0.58	 907883	 907729	 734096	 -426.94	 739.47	 -15776.7	 
0.6	 907860	 907675	 734078	 -426.94	 739.47	 -15776.7	 
0.59	 907935	 907922	 734073	 -426.94	 739.47	 -15776.7	 
0.61	 907862	 907723	 734064	 -426.94	 739.47	 -15776.7	 
0.63	 907843	 907671	 734054	 -426.94	 739.47	 -15776.7	 
0.62	 907927	 907886	 734051	 -426.94	 739.47	 -15776.7	 
0.64	 907850	 907711	 734048	 -426.94	 739.47	 -15776.7	 
0.66	 907833	 907660	 734048	 -426.94	 739.47	 -15776.7	 
0.65	 907930	 907857	 734049	 -426.94	 739.47	 -15776.7	 
0.67	 907847	 907695	 734052	 -426.94	 739.47	 -15776.7	 
0.69	 907834	 907652	 734060	 -426.94	 739.47	 -15776.7	 
0.68	 907941	 907839	 734063	 -426.94	 739.47	 -15776.7	 
0.7	 907855	 907686	 734072	 -426.94	 739.47	 -15776.7	 
0.72	 907846	 907655	 734087	 -426.94	 739.47	 -15776.7	 
0.71	 907961	 907842	 734093	 -426.94	 739.47	 -15776.7	 
0.73	 907875	 907698	 734106	 -426.94	 739.47	 -15776.7	 
0.75	 907873	 907683	 734128	 -426.94	 739.47	 -15776.7	 
0.74	 907993	 907867	 734136	 -426.94	 739.47	 -15776.7	 
0.76	 907910	 907738	 734152	 -426.94	 739.47	 -15776.7	 
0.78	 907916	 907740	 734179	 -426.94	 739.47	 -15776.7	 
0.77	 908037	 907915	 734188	 -426.94	 739.47	 -15776.7	 
0.79	 907961	 907808	 734207	 -426.94	 739.47	 -15776.8	 
0.81	 907974	 907826	 734238	 -426.94	 739.47	 -15776.8	 
0.8	 908096	 907988	 734248	 -426.94	 739.47	 -15776.8	 
0.82	 908027	 907906	 734270	 -426.94	 739.47	 -15776.8	 
0.84	 908045	 907936	 734305	 -426.94	 739.47	 -15776.8	 
0.83	 908170	 908087	 734317	 -426.94	 739.47	 -15776.8	 
0.85	 908103	 908025	 734342	 -426.94	 739.47	 -15776.8	 
0.87	 908125	 908066	 734381	 -426.94	 739.47	 -15776.8	 
0.86	 908255	 908208	 734394	 -426.94	 739.47	 -15776.8	 
0.88	 908187	 908161	 734422	 -426.94	 739.47	 -15776.8	 
0.9	 908211	 908212	 734466	 -426.94	 739.47	 -15776.8	 
0.89	 908349	 908350	 734482	 -426.94	 739.47	 -15776.8	 
0.91	 908275	 908312	 734513	 -426.94	 739.47	 -15776.8	 
0.93	 908299	 908371	 734562	 -426.94	 739.47	 -15776.8	 
0.92	 908453	 908511	 734579	 -426.94	 739.47	 -15776.8	 
0.94	 908364	 908475	 734614	 -426.94	 739.47	 -15776.8	 
0.96	 908388	 908544	 734668	 -426.94	 739.47	 -15776.8	 
0.95	 908560	 908680	 734687	 -426.94	 739.47	 -15776.8	 
0.97	 908457	 908653	 734725	 -426.94	 739.47	 -15776.8	 
0.99	 908479	 908727	 734782	 -426.94	 739.47	 -15776.8	 
0.98	 908674	 908853	 734802	 -426.94	 739.47	 -15776.8	 
1	 908551	 908840	 734842	 -426.94	 739.47	 -15776.8	 
1.02	 908572	 908920	 734902	 -426.94	 739.47	 -15776.8	 
1.01	 908791	 909022	 734922	 -426.94	 739.47	 -15776.8	 
1.03	 908648	 909035	 734962	 -426.94	 739.47	 -15776.8	 
1.05	 908666	 909120	 735022	 -426.94	 739.47	 -15776.8	 
1.04	 908908	 909183	 735042	 -426.94	 739.47	 -15776.8	 
1.06	 908747	 909234	 735082	 -426.94	 739.47	 -15776.8	 
1.08	 908760	 909325	 735141	 -426.94	 739.47	 -15776.8	 
1.07	 909029	 909342	 735160	 -426.94	 739.47	 -15776.8	 
1.09	 908845	 909436	 735199	 -426.94	 739.47	 -15776.8	 
1.11	 908853	 909537	 735255	 -426.94	 739.47	 -15776.8	 
1.1	 909151	 909500	 735274	 -426.94	 739.47	 -15776.8	 
1.12	 908940	 909642	 735311	 -426.94	 739.47	 -15776.8	 
1.14	 908941	 909753	 735365	 -426.94	 739.47	 -15776.8	 
1.13	 909271	 909659	 735382	 -426.94	 739.47	 -15776.8	 
1.15	 909030	 909853	 735418	 -426.94	 739.47	 -15776.8	 
1.17	 909022	 909975	 735469	 -426.94	 739.47	 -15776.8	 
1.16	 909392	 909826	 735486	 -426.94	 739.47	 -15776.9	 
1.18	 909115	 910067	 735519	 -426.94	 739.47	 -15776.9	 
